Birth Rate,Business Tax Rate,CO2 Emissions,PopXbirth rate,Country,Days to Start Business,Ease of Business,Energy Usage,gdp,Health Exp % GDP,Health Exp/Capita,Hours to do Tax (bin),Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage (bin),Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
4.10%,,4947,2951576.306,Ethiopia,46,,27648,8465744001,4.90%,$6 ,,,7.90%,0,7.00%,55,54,0,0,1,46.50%,50.40%,3.10%,71989666,15.30%,Africa,"$336,000,000 ","$63,000,000 ",2003
4.00%,,5244,2962645.88,Ethiopia,34,,28377,9945571030,4.30%,$6 ,,,7.40%,0,7.00%,56,55,0,0,1,46.40%,50.50%,3.10%,74066147,15.50%,Africa,"$458,000,000 ","$59,000,000 ",2004
3.90%,30.30%,5053,2970522.36,Ethiopia,34,,28935,12173919387,4.10%,$7 ,113,212,7.00%,0,7.00%,58,56,0,0,1,46.20%,50.70%,3.10%,76167240,15.70%,Africa,"$533,000,000 ","$77,000,000 ",2005
3.80%,30.30%,5420,2975044.662,Ethiopia,18,,29705,15000803171,4.20%,$8 ,113,212,6.50%,0,7.00%,59,57,0,0,1,46.00%,50.90%,3.10%,78290649,15.90%,Africa,"$639,000,000 ","$97,000,000 ",2006
3.70%,30.30%,5915,2976306.196,Ethiopia,18,,30536,19346646117,4.80%,$11 ,113,198,6.10%,0,7.50%,60,58,0,0,1,45.70%,51.10%,3.20%,80440708,16.10%,Africa,"$790,000,000 ","$107,000,000 ",2007
3.60%,30.30%,6370,2974362.84,Ethiopia,18,,31482,26571320718,4.30%,$14 ,113,198,5.70%,0,8.00%,61,59,0,0,1,45.30%,51.50%,3.20%,82621190,16.50%,Africa,"$1,184,000,000 ","$156,000,000 ",2008
3.50%,30.30%,6659,2969331.12,Ethiopia,15,,32378,31843357840,4.50%,$15 ,113,198,5.40%,0,,62,59,0,0,1,44.90%,51.80%,3.30%,84838032,16.90%,Africa,"$1,119,000,000 ","$139,000,000 ",2009
3.50%,30.30%,6494,3048334.835,Ethiopia,15,,33250,29385611867,4.70%,$14 ,113,198,5.10%,0,,63,60,0,0.1,1,44.40%,52.30%,3.30%,87095281,17.30%,Africa,"$1,434,000,000 ","$143,000,000 ",2010
3.40%,30.30%,,3039364.142,Ethiopia,15,,34064,31367606700,4.10%,$14 ,113,198,4.80%,0,,64,61,0.1,0.2,1,43.90%,52.80%,3.30%,89393063,17.70%,Africa,"$1,998,000,000 ","$170,000,000 ",2011
3.40%,32.50%,,3118780.866,Ethiopia,15,124,,42805215879,3.80%,$18 ,226,306,4.60%,0,,65,61,0.2,0.2,1,43.30%,53.30%,3.40%,91728849,18.20%,Africa,"$1,980,000,000 ","$181,000,000 ",2012
,,711,,Faeroe Islands,,,,1062339944,,,,,,0.3,,82,76,0.3,0.4,1,,,,46491,36.30%,Europe,,,2000
,,792,,Faeroe Islands,,,,1154899793,,,,,,0.4,,82,77,0.5,0.5,1,,,,47135,37.20%,Europe,,,2001
,,763,,Faeroe Islands,,,,1268445919,,,,,,0.5,,82,77,0.7,0.7,1,,,,47751,38.00%,Europe,,,2002
,,777,,Faeroe Islands,,,,1486861879,,,,,,0.6,,82,77,0.8,0.8,1,,,,48308,38.70%,Europe,,,2003
,,796,,Faeroe Islands,,,,1683997930,,,,,,0.7,,82,77,0.8,0.8,1,,,,48782,39.20%,Europe,,,2004
,,766,,Faeroe Islands,,,,1730894295,,,,,,0.7,,82,77,0.8,0.9,1,,,,49157,39.80%,Europe,,,2005
,,766,,Faeroe Islands,,,,1970135199,,,,,,0.7,,82,77,1,1,1,,,,49414,40.10%,Europe,,,2006
1.40%,,774,693.756,Faeroe Islands,,,,2278229880,,,,,,0.8,,83,78,1,1.1,1,,,,49554,40.30%,Europe,,,2007
,,719,,Faeroe Islands,,,,2412859693,,,,,,0.8,,83,78,1.1,1.1,1,,,,49601,40.50%,Europe,,,2008
,,667,,Faeroe Islands,,,,2198138372,,,,,,0.8,,84,78,1.1,1.1,1,,,,49600,40.70%,Europe,,,2009
,,711,,Faeroe Islands,,,,,,,,,,0.8,,84,79,1.2,1.2,1,,,,49581,40.90%,Europe,,,2010
1.20%,,,594.612,Faeroe Islands,,,,,,,,,,0.8,,84,79,1.2,1.2,1,,,,49551,41.10%,Europe,,,2011
1.30%,,,643.578,Faeroe Islands,,,,,,,,,,0.9,,85,80,1.2,1.2,1,,,,49506,41.30%,Europe,,,2012
2.50%,,865,20291.175,Fiji,,,,1684109743,3.90%,$80 ,,,2.10%,0,8.40%,70,65,0,0.1,1,35.10%,61.50%,3.40%,811647,47.90%,Oceania,"$291,000,000 ","$96,000,000 ",2000
2.40%,,1115,19552.8,Fiji,,,,1660102346,3.30%,$67 ,,,2.00%,0,8.30%,70,65,0.1,0.1,1,34.30%,62.10%,3.60%,814700,48.30%,Oceania,"$316,000,000 ","$84,000,000 ",2001
2.40%,,836,19589.688,Fiji,,,,1842691481,3.50%,$79 ,,,2.00%,0.1,8.10%,71,65,0.1,0.1,1,33.40%,62.90%,3.70%,816237,48.70%,Oceania,"$384,000,000 ","$79,000,000 ",2002
2.40%,,862,19613.376,Fiji,45,,,2315935753,3.40%,$95 ,,,2.00%,0.1,7.60%,71,66,0.1,0.1,1,32.40%,63.80%,3.80%,817224,49.10%,Oceania,"$496,000,000 ","$88,000,000 ",2003
2.40%,,1133,19655.88,Fiji,45,,666,2727507213,3.60%,$120 ,,,2.00%,0.1,7.20%,71,66,0.2,0.2,1,31.40%,64.60%,4.00%,818995,49.50%,Oceania,"$588,000,000 ","$118,000,000 ",2004
2.30%,41.50%,1364,18917.132,Fiji,46,,578,3006725015,3.60%,$132 ,113,140,2.00%,0.1,6.80%,71,66,0.2,0.2,1,30.60%,65.30%,4.10%,822484,49.90%,Oceania,"$722,000,000 ","$132,000,000 ",2005
2.30%,41.50%,1360,19045.38,Fiji,46,,559,3103099942,3.80%,$144 ,113,140,2.00%,0.1,7.30%,72,66,0.3,0.3,1,30.00%,65.70%,4.20%,828060,50.30%,Oceania,"$684,000,000 ","$123,000,000 ",2006
2.30%,41.50%,1203,19214.016,Fiji,46,,524,3405050612,3.70%,$152 ,113,140,2.00%,0.1,9.00%,72,66,0.6,0.6,1,29.60%,66.00%,4.40%,835392,50.70%,Oceania,"$725,000,000 ","$130,000,000 ",2007
2.20%,41.50%,1078,18564.722,Fiji,46,,,3629936625,3.60%,$154 ,113,140,2.00%,0.1,8.00%,72,66,0.7,0.7,1,29.40%,66.10%,4.50%,843851,51.10%,Oceania,"$938,000,000 ","$112,000,000 ",2008
2.20%,41.20%,847,18754.538,Fiji,46,,,2925499821,4.20%,$143 ,113,150,2.00%,0.2,7.90%,72,66,0.7,0.8,1,29.20%,66.20%,4.70%,852479,51.40%,Oceania,"$724,000,000 ","$110,000,000 ",2009
2.20%,39.30%,1291,18932.298,Fiji,46,,,3225095136,4.20%,$154 ,113,163,2.00%,0.2,7.50%,72,66,0.8,0.8,1,29.00%,66.10%,4.80%,860559,51.80%,Oceania,"$809,000,000 ","$100,000,000 ",2010
2.10%,38.30%,,18226.341,Fiji,45,,,3753485389,3.80%,$167 ,113,163,2.00%,0.3,7.50%,73,67,0.8,0.8,1,28.90%,66.10%,5.00%,867921,52.20%,Oceania,"$933,000,000 ","$115,000,000 ",2011
2.10%,37.60%,,18369.582,Fiji,59,58,,4035420973,4.00%,$177 ,113,163,2.00%,0.3,7.00%,73,67,0.9,1,1,28.90%,65.90%,5.20%,874742,52.60%,Oceania,"$987,000,000 ","$110,000,000 ",2012
1.10%,,52141,56938.299,Finland,,,32233,1.22E+11,7.20%,"$1,700 ",,,0.40%,0.4,5.60%,81,74,0.7,0.7,1,18.20%,66.90%,14.90%,5176209,82.20%,Europe,"$2,035,000,000 ","$2,293,000,000 ",2000
1.10%,,56424,57068.088,Finland,,,33150,1.25E+11,7.40%,"$1,786 ",,,0.30%,0.4,5.80%,82,75,0.8,0.8,1,18.00%,66.90%,15.10%,5188008,82.40%,Europe,"$2,065,000,000 ","$2,442,000,000 ",2001
1.10%,,61078,57206.578,Finland,,,34819,1.35E+11,7.80%,"$2,032 ",,,0.30%,0.6,4.80%,82,75,0.8,0.9,1,17.80%,66.90%,15.30%,5200598,82.50%,Europe,"$2,235,000,000 ","$2,438,000,000 ",2002
1.10%,,68888,57343.154,Finland,31,,36747,1.64E+11,8.20%,"$2,572 ",,,0.30%,0.7,4.10%,82,75,0.8,0.9,1,17.70%,66.80%,15.50%,5213014,82.60%,Europe,"$2,676,000,000 ","$2,954,000,000 ",2003
1.10%,,67091,57509.892,Finland,14,,37120,1.89E+11,8.20%,"$2,974 ",,,0.30%,0.7,3.70%,82,75,0.9,1,1,17.50%,66.70%,15.70%,5228172,82.80%,Europe,"$2,975,000,000 ","$3,383,000,000 ",2004
1.10%,49.50%,54646,57707.056,Finland,14,,34263,1.96E+11,8.40%,"$3,151 ",226,269,0.30%,0.7,,82,76,0.9,1,1,17.40%,66.70%,15.90%,5246096,82.90%,Europe,"$3,069,000,000 ","$3,622,000,000 ",2005
1.10%,47.70%,66197,57928.948,Finland,14,,37334,2.08E+11,8.30%,"$3,302 ",226,269,0.30%,0.8,,83,76,1,1.1,1,17.20%,66.70%,16.10%,5266268,83.00%,Europe,"$3,515,000,000 ","$4,099,000,000 ",2006
1.10%,47.80%,63982,58175.92,Finland,14,,36803,2.46E+11,8.00%,"$3,751 ",226,269,0.30%,0.8,,83,76,1.1,1.1,1,17.00%,66.80%,16.30%,5288720,83.20%,Europe,"$4,287,000,000 ","$4,812,000,000 ",2007
1.10%,47.80%,56593,58447.389,Finland,14,,35284,2.72E+11,8.30%,"$4,262 ",226,269,0.30%,0.8,,83,76,1.3,1.3,1,16.80%,66.80%,16.50%,5313399,83.30%,Europe,"$4,873,000,000 ","$5,579,000,000 ",2008
1.10%,47.70%,53168,58727.581,Finland,14,,33259,2.39E+11,9.20%,"$4,121 ",226,243,0.30%,0.8,,83,77,1.4,1.4,1,16.60%,66.60%,16.70%,5338871,83.40%,Europe,"$4,104,000,000 ","$5,226,000,000 ",2009
1.10%,40.80%,61844,58996.872,Finland,14,,36429,2.37E+11,9.00%,"$3,978 ",226,243,0.30%,0.9,,83,77,1.5,1.6,1,16.50%,66.40%,17.10%,5363352,83.60%,Europe,"$4,510,000,000 ","$5,267,000,000 ",2010
1.10%,39.00%,,59270.992,Finland,14,,34749,2.62E+11,9.00%,"$4,411 ",0,93,0.20%,0.9,,84,77,1.6,1.7,1,16.40%,65.90%,17.70%,5388272,83.70%,Europe,"$5,591,000,000 ","$6,009,000,000 ",2011
1.10%,40.60%,,59553.681,Finland,14,12,33475,2.47E+11,9.10%,"$4,232 ",0,93,0.20%,0.9,,84,78,1.7,1.7,1,16.40%,65.30%,18.30%,5413971,83.80%,Europe,"$5,415,000,000 ","$5,839,000,000 ",2012
1.30%,,365560,791843.741,France,,,251981,1.33E+12,10.10%,"$2,209 ",,,0.40%,0.1,6.70%,83,75,0.4,0.5,1,18.90%,65.00%,16.00%,60911057,75.90%,Europe,"$38,534,000,000 ","$26,703,000,000 ",2000
1.30%,,385827,797624.425,France,,,260565,1.34E+12,10.20%,"$2,241 ",,,0.40%,0.3,7.00%,83,76,0.6,0.6,1,18.80%,65.10%,16.10%,61355725,76.10%,Europe,"$38,385,000,000 ","$26,749,000,000 ",2001
1.30%,,380840,803441.977,France,,,261182,1.45E+12,10.60%,"$2,497 ",,,0.40%,0.3,6.60%,83,76,0.6,0.6,1,18.70%,65.10%,16.20%,61803229,76.40%,Europe,"$40,537,000,000 ","$27,808,000,000 ",2002
1.30%,,387591,809152.162,France,41,,265879,1.79E+12,10.80%,"$3,137 ",,,0.40%,0.4,6.60%,83,76,0.7,0.7,1,18.60%,65.10%,16.30%,62242474,76.60%,Europe,"$45,990,000,000 ","$32,618,000,000 ",2003
1.30%,,390103,815127.573,France,7,,269777,2.06E+12,11.00%,"$3,620 ",,,0.40%,0.4,6.60%,84,77,0.7,0.7,1,18.60%,65.10%,16.40%,62702121,76.90%,Europe,"$52,108,000,000 ","$36,029,000,000 ",2004
1.30%,65.10%,392072,821291.198,France,7,,270660,2.14E+12,11.00%,"$3,750 ",113,132,0.40%,0.4,,84,77,0.8,0.8,1,18.50%,65.10%,16.40%,63176246,77.10%,Europe,"$51,691,000,000 ","$38,813,000,000 ",2005
1.30%,65.00%,382582,827033.675,France,7,,266793,2.26E+12,11.00%,"$3,907 ",113,132,0.40%,0.5,,85,77,0.8,0.8,1,18.50%,65.10%,16.50%,63617975,77.40%,Europe,"$54,450,000,000 ","$39,331,000,000 ",2006
1.30%,65.00%,375882,832163.436,France,7,,263542,2.58E+12,10.90%,"$4,413 ",113,132,0.40%,0.7,,85,78,0.8,0.9,1,18.40%,65.10%,16.50%,64012572,77.60%,Europe,"$63,701,000,000 ","$46,029,000,000 ",2007
1.30%,64.50%,372564,836824.287,France,7,,264803,2.83E+12,11.00%,"$4,877 ",113,132,0.40%,0.7,,85,78,0.9,0.9,1,18.40%,65.10%,16.50%,64371099,77.90%,Europe,"$67,779,000,000 ","$50,021,000,000 ",2008
1.30%,64.80%,356924,841137.973,France,7,,253469,2.62E+12,11.70%,"$4,776 ",113,132,0.40%,0.7,,85,78,0.8,0.9,1,18.40%,65.00%,16.60%,64702921,78.10%,Europe,"$58,857,000,000 ","$45,806,000,000 ",2009
1.30%,64.80%,361273,845300.846,France,7,,261157,2.57E+12,11.70%,"$4,634 ",113,132,0.40%,0.8,,85,78,0.8,0.9,1,18.40%,64.80%,16.80%,65023142,78.30%,Europe,"$56,139,000,000 ","$46,157,000,000 ",2010
1.30%,64.70%,,849466.644,France,7,,252827,2.78E+12,11.60%,"$4,968 ",113,132,0.40%,0.8,,86,79,0.9,0.9,1,18.30%,64.60%,17.10%,65343588,78.60%,Europe,"$65,959,000,000 ","$53,914,000,000 ",2011
1.30%,64.70%,,853797.854,France,7,35,251706,2.61E+12,11.70%,"$4,690 ",113,132,0.40%,0.8,,86,79,0.9,1,1,18.30%,64.30%,17.50%,65676758,78.80%,Europe,"$63,530,000,000 ","$47,159,000,000 ",2012
2.00%,,631,4745.34,French Polynesia,,,,3447543138,,,,,,0.1,,75,70,0.2,0.2,1,31.80%,64.00%,4.30%,237267,56.10%,Oceania,,,2000
2.00%,,737,4825.52,French Polynesia,,,,,,,,,,0.1,,76,70,0.3,0.3,1,31.00%,64.50%,4.40%,241276,56.00%,Oceania,,,2001
1.90%,,737,4655.608,French Polynesia,,,,,,,,,,0.1,,76,70,0.2,0.2,1,30.30%,65.20%,4.50%,245032,55.90%,Oceania,"$471,000,000 ","$264,000,000 ",2002
1.90%,,799,4722.184,French Polynesia,,,,,,,,,,0.1,,76,71,0.2,0.2,1,29.40%,65.90%,4.60%,248536,56.00%,Oceania,"$651,000,000 ","$335,000,000 ",2003
1.90%,,788,4784.409,French Polynesia,,,,,,,,,,0.2,,77,71,0.3,0.4,1,28.60%,66.60%,4.80%,251811,56.20%,Oceania,"$737,000,000 ","$425,000,000 ",2004
1.80%,,851,4587.912,French Polynesia,,,,,,,,,,0.2,,77,72,0.4,0.5,1,27.70%,67.20%,5.00%,254884,56.40%,Oceania,"$759,000,000 ","$430,000,000 ",2005
1.80%,,851,4639.158,French Polynesia,,,,,,,,,,0.3,,77,72,0.6,0.6,1,26.90%,67.80%,5.30%,257731,56.60%,Oceania,"$463,000,000 ","$122,000,000 ",2006
1.80%,,843,4686.498,French Polynesia,,,,,,,,,,0.3,,77,73,0.7,0.7,1,26.00%,68.30%,5.70%,260361,56.80%,Oceania,"$537,000,000 ","$153,000,000 ",2007
1.70%,,869,4468.909,French Polynesia,,,,,,,,,,0.3,,78,73,0.7,0.7,1,25.10%,68.80%,6.10%,262877,56.70%,Oceania,"$522,000,000 ","$159,000,000 ",2008
1.70%,,873,4512.004,French Polynesia,,,,,,,,,,0.4,,78,73,0.8,0.8,1,24.40%,69.20%,6.50%,265412,56.60%,Oceania,"$440,000,000 ","$164,000,000 ",2009
1.70%,,884,4557.105,French Polynesia,,,,,,,,,,0.5,,78,73,0.8,0.8,1,23.80%,69.50%,6.80%,268065,56.50%,Oceania,"$405,000,000 ","$160,000,000 ",2010
1.70%,,,4604.858,French Polynesia,,,,,,,,,,0.5,,78,74,0.8,0.8,1,23.30%,69.80%,7.00%,270874,56.30%,Oceania,"$384,000,000 ","$168,000,000 ",2011
1.70%,,,4654.838,French Polynesia,,,,,,,,,,0.5,,78,74,0.8,0.8,1,22.90%,70.00%,7.10%,273814,56.20%,Oceania,,,2012
3.40%,,1052,41667.918,Gabon,,,1463,5067865503,2.90%,$118 ,,,5.60%,0,22.00%,61,59,0.1,0.1,1,40.60%,53.50%,5.90%,1225527,80.10%,Africa,"$99,000,000 ","$183,000,000 ",2000
3.40%,,1782,42680.166,Gabon,,,1579,4712849280,3.30%,$125 ,,,5.50%,0,20.70%,61,58,0.1,0.1,1,40.40%,53.80%,5.80%,1255299,80.90%,Africa,"$46,000,000 ","$256,000,000 ",2001
3.30%,,1778,42415.494,Gabon,,,1583,4931503836,3.70%,$142 ,,,5.40%,0,18.00%,61,58,0.2,0.2,1,40.20%,54.00%,5.80%,1285318,81.60%,Africa,"$77,000,000 ","$234,000,000 ",2002
3.30%,,1335,43422.06,Gabon,,,1593,6054883172,3.80%,$174 ,,,5.30%,0,18.00%,61,58,0.2,0.2,1,39.90%,54.30%,5.70%,1315820,82.20%,Africa,"$84,000,000 ","$239,000,000 ",2003
3.30%,,1767,44455.125,Gabon,,,1629,7178135606,3.40%,$180 ,,,5.20%,0,18.00%,61,59,0.3,0.4,1,39.70%,54.60%,5.70%,1347125,82.80%,Africa,"$74,000,000 ","$275,000,000 ",2004
3.30%,45.10%,2087,45522.345,Gabon,57,,1718,8665736618,3.00%,$187 ,452,488,5.00%,0,17.70%,61,59,0.5,0.5,1,39.50%,54.90%,5.60%,1379465,83.40%,Africa,"$13,000,000 ","$346,000,000 ",2005
3.30%,44.70%,1977,46625.931,Gabon,57,,1768,9545982814,3.20%,$216 ,452,488,4.90%,0.1,15.30%,61,59,0.6,0.6,1,39.30%,55.10%,5.60%,1412907,84.00%,Africa,,,2006
3.30%,44.70%,2332,47763.804,Gabon,57,,1832,11570860872,3.30%,$262 ,452,488,4.80%,0.1,15.00%,62,60,0.8,0.8,1,39.10%,55.40%,5.50%,1447388,84.40%,Africa,,,2007
3.30%,44.70%,1566,48933.819,Gabon,57,,1880,15685389827,2.70%,$283 ,452,488,4.60%,0.1,,62,60,0.8,0.9,1,38.90%,55.60%,5.50%,1482843,84.90%,Africa,,,2008
3.30%,44.70%,81,50132.115,Gabon,57,,1925,12031268402,3.70%,$291 ,452,488,4.50%,0.1,,63,61,0.9,1,1,38.80%,55.90%,5.40%,1519155,85.30%,Africa,,,2009
3.30%,43.50%,2574,51355.326,Gabon,57,,1984,14569527125,3.50%,$322 ,452,488,4.30%,0.1,,63,61,1,1,1,38.60%,56.00%,5.30%,1556222,85.70%,Africa,,,2010
3.20%,43.50%,,51009.088,Gabon,57,,1997,18796191833,3.40%,$401 ,452,488,4.20%,0.1,,64,62,1.4,1.5,1,38.50%,56.20%,5.30%,1594034,86.00%,Africa,,,2011
3.20%,43.50%,,52242.304,Gabon,57,169,,17843815459,3.50%,$397 ,452,488,4.00%,0.1,,64,62,1.8,1.8,1,38.50%,56.30%,5.20%,1632572,86.40%,Africa,,,2012
4.50%,,275,55298.835,"Gambia, The",,,,782913866,4.50%,$29 ,,,6.30%,0,24.00%,56,54,0,0,1,45.90%,51.40%,2.70%,1228863,47.90%,Africa,,,2000
4.50%,,282,57001.095,"Gambia, The",,,,687410629,4.60%,$25 ,,,6.20%,0,24.00%,57,54,0,0,1,45.90%,51.50%,2.70%,1266691,48.80%,Africa,,,2001
4.50%,,315,58800.015,"Gambia, The",,,,578235310,3.80%,$17 ,,,6.10%,0,24.00%,57,55,0,0.1,1,45.90%,51.50%,2.60%,1306667,49.70%,Africa,,,2002
4.50%,,315,60684.66,"Gambia, The",,,,487038678,4.20%,$15 ,,,5.90%,0,29.30%,57,55,0.1,0.1,1,45.90%,51.50%,2.60%,1348548,50.60%,Africa,"$58,000,000 ","$8,000,000 ",2003
4.40%,,323,61245.096,"Gambia, The",,,108,578785601,4.40%,$18 ,,,5.80%,0,36.50%,58,55,0.1,0.1,1,46.00%,51.50%,2.60%,1391934,51.50%,Africa,"$51,000,000 ","$6,000,000 ",2004
4.40%,286.00%,323,63208.156,"Gambia, The",27,,108,624173996,4.50%,$20 ,339,376,5.70%,0,34.90%,58,56,0.2,0.2,1,46.00%,51.50%,2.50%,1436549,52.30%,Africa,"$59,000,000 ","$7,000,000 ",2005
4.40%,292.10%,337,65222.256,"Gambia, The",27,,114,655068112,4.70%,$21 ,339,376,5.60%,0.1,29.80%,58,56,0.3,0.3,1,46.00%,51.50%,2.50%,1482324,53.20%,Africa,"$69,000,000 ","$8,000,000 ",2006
4.40%,292.10%,396,67293.864,"Gambia, The",32,,133,798869805,4.10%,$21 ,339,376,5.50%,0.1,27.90%,59,56,0.5,0.5,1,46.00%,51.40%,2.50%,1529406,54.00%,Africa,"$87,000,000 ","$8,000,000 ",2007
4.40%,292.10%,411,69431.296,"Gambia, The",27,,,965771303,4.10%,$25 ,339,376,5.40%,0.1,27.00%,59,56,0.7,0.7,1,46.00%,51.40%,2.50%,1577984,54.80%,Africa,"$80,000,000 ","$8,000,000 ",2008
4.30%,292.10%,436,70018.276,"Gambia, The",27,,,900629373,4.50%,$25 ,339,376,5.30%,0.1,27.00%,59,57,0.8,0.8,1,46.00%,51.50%,2.50%,1628332,55.60%,Africa,"$64,000,000 ","$9,000,000 ",2009
4.30%,292.10%,473,72267.52,"Gambia, The",27,,,951805801,4.70%,$27 ,339,376,5.20%,0.1,27.00%,59,57,0.8,0.9,1,46.00%,51.50%,2.50%,1680640,56.30%,Africa,"$80,000,000 ","$11,000,000 ",2010
4.30%,283.20%,,74603.538,"Gambia, The",27,,,898282866,4.70%,$24 ,339,376,5.10%,0.1,28.00%,60,57,0.8,0.8,1,45.90%,51.60%,2.50%,1734966,57.00%,Africa,"$92,000,000 ","$11,000,000 ",2011
4.30%,283.20%,,77022.675,"Gambia, The",27,148,,914109100,5.00%,$26 ,339,376,5.00%,0.1,28.00%,60,57,0.8,0.9,1,45.90%,51.70%,2.40%,1791225,57.70%,Africa,"$99,000,000 ","$8,000,000 ",2012
1.20%,,4536,53019.6,Georgia,,,2869,3057453461,6.90%,$45 ,,,3.10%,0,24.70%,75,68,0,0,1,21.90%,65.60%,12.50%,4418300,52.60%,Asia,"$107,000,000 ","$129,000,000 ",2000
1.20%,,3770,52636.8,Georgia,,,2570,3219487823,7.80%,$54 ,,,2.90%,0,22.30%,76,68,0,0.1,1,21.20%,65.90%,12.90%,4386400,52.40%,Asia,"$136,000,000 ","$136,000,000 ",2001
1.20%,,3388,52284,Georgia,,,2544,3395778661,8.70%,$64 ,,,2.80%,0,23.60%,76,69,0.1,0.1,1,20.50%,66.10%,13.40%,4357000,52.30%,Asia,"$144,000,000 ","$189,000,000 ",2002
1.20%,,3773,51946.8,Georgia,25,,2705,3991374540,8.50%,$74 ,,,2.60%,0,23.80%,76,69,0.1,0.2,1,19.70%,66.40%,13.90%,4328900,52.40%,Asia,"$172,000,000 ","$170,000,000 ",2003
1.20%,,4323,51819.6,Georgia,25,,2781,5125273877,8.50%,$97 ,,,2.40%,0,22.10%,76,69,0.2,0.2,1,19.00%,66.70%,14.30%,4318300,52.40%,Asia,"$209,000,000 ","$196,000,000 ",2004
1.30%,57.00%,5068,56698.2,Georgia,21,,2841,6411147323,8.60%,$123 ,339,448,2.20%,0.1,17.60%,77,69,0.3,0.3,1,18.40%,67.00%,14.60%,4361400,52.50%,Asia,"$287,000,000 ","$237,000,000 ",2005
1.30%,38.60%,6150,57174,Georgia,16,,3032,7761900179,8.40%,$146 ,339,387,2.00%,0.1,17.10%,77,70,0.3,0.4,1,17.90%,67.40%,14.70%,4398000,52.50%,Asia,"$361,000,000 ","$257,000,000 ",2006
1.30%,38.60%,6190,57049.2,Georgia,11,,3341,10172260738,8.20%,$188 ,339,387,1.90%,0.1,17.10%,77,70,0.5,0.6,1,17.60%,67.80%,14.60%,4388400,52.60%,Asia,"$440,000,000 ","$277,000,000 ",2007
1.40%,38.60%,6238,61373.2,Georgia,3,,3005,12799337250,9.00%,$261 ,339,387,1.70%,0.1,18.00%,77,70,0.6,0.6,1,17.40%,68.20%,14.50%,4383800,52.60%,Asia,"$505,000,000 ","$337,000,000 ",2008
1.40%,15.30%,6058,61752.6,Georgia,3,,3096,10766836277,10.20%,$249 ,339,387,1.60%,0.2,17.90%,77,70,0.6,0.6,1,17.30%,68.40%,14.30%,4410900,52.70%,Asia,"$537,000,000 ","$311,000,000 ",2009
1.40%,15.30%,6241,62339.2,Georgia,3,,3122,11638536862,10.10%,$267 ,339,387,1.50%,0.3,15.80%,77,70,0.8,0.9,1,17.30%,68.50%,14.20%,4452800,52.90%,Asia,"$737,000,000 ","$329,000,000 ",2010
1.40%,16.50%,,62766.9,Georgia,2,,3543,14434619972,9.40%,$310 ,339,387,1.40%,0.3,15.00%,78,70,1,1,1,17.40%,68.40%,14.20%,4483350,53.00%,Asia,"$1,069,000,000 ","$384,000,000 ",2011
1.40%,16.50%,,62869.8,Georgia,2,9,,15846484588,9.20%,$333 ,226,280,1.30%,0.4,14.80%,78,70,1,1.1,1,17.60%,68.10%,14.30%,4490700,53.20%,Asia,"$1,565,000,000 ","$471,000,000 ",2012
0.90%,,829978,739903.572,Germany,,,336584,1.89E+12,10.40%,"$2,387 ",,,0.40%,0.3,9.60%,81,75,0.5,0.6,1,15.60%,68.10%,16.30%,82211508,73.10%,Europe,"$24,943,000,000 ","$57,601,000,000 ",2000
0.90%,,853663,741149.325,Germany,,,346679,1.88E+12,10.50%,"$2,402 ",,,0.40%,0.3,10.00%,81,76,0.6,0.7,1,15.40%,67.90%,16.80%,82349925,73.10%,Europe,"$24,175,000,000 ","$56,529,000,000 ",2001
0.90%,,828771,742396.455,Germany,,,338553,2.01E+12,10.70%,"$2,610 ",,,0.40%,0.5,9.70%,81,75,0.7,0.7,1,15.10%,67.60%,17.30%,82488495,73.20%,Europe,"$26,690,000,000 ","$59,496,000,000 ",2002
0.90%,,833406,742807.584,Germany,45,,338070,2.42E+12,10.90%,"$3,206 ",,,0.40%,0.6,,81,76,0.8,0.8,1,14.80%,67.30%,17.90%,82534176,73.20%,Europe,"$30,104,000,000 ","$73,203,000,000 ",2003
0.90%,,825896,742646.34,Germany,45,,340676,2.73E+12,10.70%,"$3,524 ",,,0.40%,0.6,,82,76,0.8,0.9,1,14.60%,67.00%,18.40%,82516260,73.30%,Europe,"$36,390,000,000 ","$80,624,000,000 ",2004
0.80%,47.70%,806703,659755.376,Germany,45,,335185,2.77E+12,10.80%,"$3,624 ",113,196,0.40%,0.7,,82,76,0.9,0.9,1,14.30%,66.70%,18.90%,82469422,73.40%,Europe,"$40,531,000,000 ","$84,838,000,000 ",2005
0.80%,47.40%,808860,659011.608,Germany,24,,340492,2.90E+12,10.60%,"$3,746 ",113,196,0.40%,0.7,,82,76,1,1,1,14.10%,66.50%,19.40%,82376451,73.50%,Europe,"$45,538,000,000 ","$85,974,000,000 ",2006
0.80%,49.00%,784016,658130.976,Germany,18,,330719,3.32E+12,10.50%,"$4,231 ",113,196,0.40%,0.8,,82,77,1.1,1.2,1,13.90%,66.20%,19.80%,82266372,73.70%,Europe,"$49,332,000,000 ","$96,549,000,000 ",2007
