Statistics,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
FemEmpSec_EmployedCivilianPop16YearsandOver,1037715,158655,1490274,627856,8572476,1374953,883266,228322,194018,4677500,2407578,332379,386311,2988287,1538837,765219,684240,959787,978029,332737,1530693,1797564,2234787,1427666,610606,1422107,247303,477182,659164,351750,2175990,424035,4700386,2345947,185738,2716957,837357,957857,3017484,269894,1121616,211371,1529315,6204067,707295,166154,2031552,1710768,347797,1442068,129432
FemEmpSec_PrivateSector,677980,78668,977935,398016,5407243,856447,561368,145307,83823,3170156,1597383,192081,237571,1960936,1023850,479588,417951,622565,623655,186255,847821,1096599,1487991,879450,386596,912819,134294,290969,474700,214383,1464189,237910,2812715,1542888,105224,1788748,518726,561142,1962319,172416,733248,122352,1022399,4118341,457682,82581,1207776,1032349,211094,933059,68730
FemEmpSec_PublicSector,191903,44306,240654,117142,1499073,223551,134290,39598,51440,634590,422537,71135,69040,444268,204663,130329,133209,167816,186769,50397,368761,257528,294927,214319,138246,207616,48257,81337,97854,54688,357060,108044,849280,395504,36387,389797,168217,164052,363985,38091,208691,37260,243503,1068937,125695,30050,449779,316379,78365,216077,32870
FemEmpSec_SelfEmployed,69033,14211,125541,46994,828986,136075,64425,14538,12743,447850,184232,31975,40746,195310,92889,55617,50735,58431,73650,30888,104475,125116,143891,98278,37134,94664,29486,36944,51855,24349,140109,33935,345360,175210,14182,159674,68768,100033,170043,16110,79367,16962,106074,503079,57311,17205,143219,152559,19490,90569,13435
FemEmpSec_PrivateNonProfit,97476,21110,143260,64503,818886,155290,121607,28344,45612,414875,199434,36304,37738,382605,214944,98275,80790,108612,92268,64482,206863,315356,304454,233581,46844,204354,34512,67183,33575,57433,211389,43421,685420,227450,29395,374380,79432,130528,516202,42857,98180,34151,154421,499320,64862,35977,227034,206174,38268,199324,13850
FemEmpSec_UnpaidFamilyWorkers,1323,360,2884,1201,18288,3590,1576,535,400,10029,3992,884,1216,5168,2491,1410,1555,2363,1687,715,2773,2965,3524,2038,1786,2654,754,749,1180,897,3243,725,7611,4895,550,4358,2214,2102,4935,420,2130,646,2918,14390,1745,341,3744,3307,580,3039,547
MaleUR_CivilianMaleinLaborForce16YearsandOver,1199688,194806,1820681,723329,10794465,1679615,1004737,250704,193673,5435739,2718834,367482,481144,3507439,1798804,891395,799661,1110836,1116135,365634,1679254,1982993,2627519,1624602,675709,1597956,291733,553185,829018,403432,2571973,499534,5312835,2639689,225884,3110793,1001240,1133390,3477571,302102,1257921,246061,1762618,7825106,914454,177296,2293624,2098569,417436,1634843,163400
MaleUR_Employed,1135882,180009,1720517,683007,10104245,1600877,939729,236135,179949,5147411,2576175,347922,461115,3285186,1712086,855577,765976,1049398,1035878,348450,1590284,1869455,2457622,1552811,630184,1523859,279338,534807,770283,386756,2412912,465393,4963131,2499821,217874,2939506,949385,1068250,3278110,282813,1191762,236986,1671825,7414563,882848,169085,2188229,1990888,388291,1572544,155502
MaleUR_Unemployed,63806,14797,100164,40322,690220,78738,65008,14569,13724,288328,142659,19560,20029,222253,86718,35818,33685,61438,80257,17184,88970,113538,169897,71791,45525,74097,12395,18378,58735,16676,159061,34141,349704,139868,8010,171287,51855,65140,199461,19289,66159,9075,90793,410543,31606,8211,105395,107681,29145,62299,7898
FemUR_CivilianFemaleinLaborForce16YearsandOver,1098325,168912,1581225,661267,9185997,1441253,935889,241746,208787,4941297,2555762,349971,401915,3179075,1612609,795301,712402,1011044,1044071,345716,1617230,1893985,2375441,1481182,656258,1486830,257211,493278,709941,364021,2321902,453030,4993595,2479708,190880,2860076,880358,1013303,3185319,286033,1186081,217137,1618090,6565110,733859,171611,2128964,1801346,368929,1488786,133998
FemUR_Employed,1037715,158655,1490274,627856,8572476,1374953,883266,228322,194018,4677500,2407578,332379,386311,2988287,1538837,765219,684240,959787,978029,332737,1530693,1797564,2234787,1427666,610606,1422107,247303,477182,659164,351750,2175990,424035,4700386,2345947,185738,2716957,837357,957857,3017484,269894,1121616,211371,1529315,6204067,707295,166154,2031552,1710768,347797,1442068,129432
FemUR_Unemployed,60610,10257,90951,33411,613521,66300,52623,13424,14769,263797,148184,17592,15604,190788,73772,30082,28162,51257,66042,12979,86537,96421,140654,53516,45652,64723,9908,16096,50777,12271,145912,28995,293209,133761,5142,143119,43001,55446,167835,16139,64465,5766,88775,361043,26564,5457,97412,90578,21132,46718,4566
PS_Total,4876863,719086,6926281,2923735,38701352,5605422,3503694,955602,651618,20928219,10356895,1414718,1780875,12529291,6550921,3084598,2850702,4359181,4531545,1321489,6006777,6756217,9850305,5550433,2874132,5967909,1053304,1899516,3018139,1330682,9058493,2067620,19604130,10092759,749693,11451346,3837807,4128333,12568252,1050314,4946116,853175,6692912,28260264,3182692,617101,8337068,7478757,1751049,5726939,563382
IncomeinthePast12MonthsBelowPovertyLevel,769819,75016,934911,468113,4741175,535976,351476,109274,100618,2744612,1441351,133740,202560,1483378,819005,339695,327209,709140,850486,145992,550074,668780,1310058,512312,557111,762023,131512,195455,388814,98429,883896,378896,2636823,1379672,80390,1528963,583853,498517,1482811,118257,718345,106291,955929,3965117,278486,64962,828664,746904,295632,610632,60482
Male_IncPast12BPL,329724,36324,430677,206700,2146549,246395,153937,47311,42822,1230391,632848,62143,91224,657599,362924,151946,144459,315632,370883,65660,238213,292618,590621,232157,238709,338772,63069,87408,178731,42910,386262,174816,1169005,602046,36942,681016,263211,230977,656546,51888,314382,48591,420717,1774327,127928,29099,363107,339334,131550,273748,27427
Female_IncPast12BPL,440095,38692,504234,261413,2594626,289581,197539,61963,57796,1514221,808503,71597,111336,825779,456081,187749,182750,393508,479603,80332,311861,376162,719437,280155,318402,423251,68443,108047,210083,55519,497634,204080,1467818,777626,43448,847947,320642,267540,826265,66369,403963,57700,535212,2190790,150558,35863,465557,407570,164082,336884,33055
IncomeinthePast12MonthsAtorAbovePovertyLevel,4107044,644070,5991370,2455622,33960177,5069446,3152218,846328,551000,18183607,8915544,1280978,1578315,11045913,5731916,2744903,2523493,3650041,3681059,1175497,5456703,6087437,8540247,5038121,2317021,5205886,921792,1704061,2629325,1232253,8174597,1688724,16967307,8713087,669303,9922383,3253954,3629816,11085441,932057,4227771,746884,5736983,24295147,2904206,552139,7508404,6731853,1455417,5116307,502900
Male_IncPast12AAPL,2031088,336075,3000723,1227965,17086955,2573238,1561926,415720,267524,8996006,4387413,644306,801804,5503785,2868014,1387355,1276025,1829789,1826609,584287,2671997,3006617,4269643,2543605,1145846,2590015,468780,863086,1334834,620472,4051768,844738,8373610,4300804,346896,4941970,1632834,1818876,5513892,463026,2078344,382228,2845607,12224768,1477272,277000,3728520,3409237,736004,2581679,259944
Female_IncPast12AAPL,2075956,307995,2990647,1227657,16873222,2496208,1590292,430608,283476,9187601,4528131,636672,776511,5542128,2863902,1357548,1247468,1820252,1854450,591210,2784706,3080820,4270604,2494516,1171175,2615871,453012,840975,1294491,611781,4122829,843986,8593697,4412283,322407,4980413,1621120,1810940,5571549,469031,2149427,364656,2891376,12070379,1426934,275139,3779884,3322616,719413,2534628,242956
TotalMedianEarnings,"$39,624 ","$50,584 ","$42,355 ","$37,772 ","$47,118 ","$49,696 ","$53,504 ","$45,782 ","$75,336 ","$38,669 ","$42,475 ","$45,635 ","$38,577 ","$47,246 ","$42,112 ","$43,578 ","$43,070 ","$39,631 ","$40,242 ","$41,635 ","$55,778 ","$56,305 ","$42,598 ","$49,544 ","$36,241 ","$41,659 ","$38,418 ","$43,626 ","$40,954 ","$50,653 ","$54,761 ","$37,162 ","$49,839 ","$40,954 ","$45,984 ","$42,811 ","$39,636 ","$43,305 ","$45,033 ","$48,361 ","$39,788 ","$41,077 ","$40,083 ","$43,328 ","$44,483 ","$43,613 ","$50,583 ","$51,626 ","$37,723 ","$44,812 ","$43,320 "
TME_LessthanHighSchoolGrad,"$25,163 ","$26,928 ","$27,094 ","$26,405 ","$26,928 ","$31,706 ","$27,474 ","$30,017 ","$27,707 ","$24,999 ","$26,480 ","$29,906 ","$27,662 ","$28,305 ","$28,281 ","$31,268 ","$29,301 ","$24,576 ","$25,106 ","$28,743 ","$30,084 ","$30,550 ","$25,229 ","$29,878 ","$23,255 ","$26,400 ","$25,708 ","$30,643 ","$30,537 ","$32,238 ","$27,628 ","$22,328 ","$26,419 ","$25,686 ","$31,102 ","$26,234 ","$26,575 ","$28,938 ","$27,928 ","$30,340 ","$24,433 ","$28,912 ","$26,007 ","$26,451 ","$31,162 ","$29,797 ","$27,282 ","$31,023 ","$23,107 ","$30,428 ","$30,953 "
TME_HighSchoolGrad,"$31,825 ","$38,556 ","$33,220 ","$31,426 ","$34,965 ","$37,928 ","$38,906 ","$35,625 ","$32,680 ","$30,855 ","$32,373 ","$37,220 ","$32,313 ","$34,591 ","$34,547 ","$35,389 ","$33,428 ","$32,141 ","$32,129 ","$33,235 ","$39,306 ","$40,368 ","$32,329 ","$36,541 ","$30,160 ","$32,836 ","$31,548 ","$34,294 ","$34,782 ","$40,522 ","$36,977 ","$29,716 ","$34,972 ","$31,461 ","$38,526 ","$33,778 ","$32,402 ","$33,545 ","$34,605 ","$38,638 ","$31,528 ","$33,846 ","$31,891 ","$32,983 ","$36,022 ","$35,808 ","$34,663 ","$39,206 ","$32,188 ","$35,744 ","$37,233 "
TME_SomeCollegeorAssociatesDegree,"$36,556 ","$48,082 ","$40,123 ","$35,054 ","$42,817 ","$42,408 ","$44,872 ","$40,721 ","$43,665 ","$36,627 ","$38,072 ","$42,944 ","$35,768 ","$41,162 ","$39,729 ","$40,644 ","$39,037 ","$37,128 ","$36,470 ","$39,285 ","$47,767 ","$45,375 ","$38,426 ","$44,038 ","$34,039 ","$38,030 ","$34,810 ","$40,386 ","$40,539 ","$44,423 ","$45,305 ","$34,373 ","$42,959 ","$36,715 ","$43,568 ","$39,112 ","$37,595 ","$39,630 ","$40,863 ","$43,257 ","$37,091 ","$38,812 ","$37,447 ","$40,650 ","$40,492 ","$39,716 ","$42,270 ","$44,400 ","$34,506 ","$42,060 ","$39,491 "
TME_BachelorsDegree,"$53,063 ","$61,748 ","$56,276 ","$50,737 ","$68,515 ","$60,941 ","$68,811 ","$61,034 ","$78,399 ","$51,092 ","$57,884 ","$54,765 ","$48,330 ","$63,240 ","$53,845 ","$55,185 ","$54,255 ","$52,666 ","$53,441 ","$49,504 ","$69,361 ","$69,281 ","$57,536 ","$63,024 ","$46,360 ","$53,696 ","$44,997 ","$53,735 ","$52,261 ","$62,110 ","$71,296 ","$48,063 ","$65,442 ","$54,286 ","$54,241 ","$57,676 ","$50,486 ","$56,297 ","$58,740 ","$60,216 ","$53,106 ","$50,578 ","$52,564 ","$60,543 ","$54,508 ","$48,739 ","$64,851 ","$67,444 ","$48,052 ","$56,866 ","$52,250 "
TME_GraduateorProfessionalDegree,"$65,092 ","$81,581 ","$72,937 ","$65,593 ","$97,115 ","$76,458 ","$89,355 ","$77,933 ","$107,834 ","$66,765 ","$72,984 ","$75,208 ","$66,528 ","$81,497 ","$69,467 ","$71,579 ","$66,495 ","$62,007 ","$62,283 ","$64,713 ","$93,187 ","$89,500 ","$76,175 ","$79,928 ","$59,929 ","$66,301 ","$62,028 ","$68,217 ","$71,808 ","$76,646 ","$95,523 ","$67,285 ","$84,024 ","$68,897 ","$67,412 ","$74,231 ","$63,858 ","$75,223 ","$77,535 ","$80,502 ","$64,361 ","$62,807 ","$66,640 ","$76,818 ","$80,447 ","$66,016 ","$90,644 ","$89,702 ","$61,846 ","$70,620 ","$66,039 "
MaleMedianEarnings,"$48,006 ","$57,741 ","$48,036 ","$43,273 ","$53,609 ","$56,981 ","$62,488 ","$52,057 ","$80,865 ","$43,360 ","$49,470 ","$53,018 ","$46,493 ","$55,540 ","$50,879 ","$51,562 ","$50,999 ","$45,889 ","$50,601 ","$47,437 ","$63,153 ","$65,549 ","$51,558 ","$56,277 ","$43,321 ","$49,047 ","$45,115 ","$51,328 ","$44,831 ","$59,043 ","$64,179 ","$42,431 ","$55,067 ","$46,664 ","$53,973 ","$50,978 ","$47,216 ","$50,642 ","$53,366 ","$55,456 ","$46,646 ","$47,561 ","$46,138 ","$51,245 ","$56,560 ","$48,087 ","$58,818 ","$61,100 ","$44,741 ","$52,699 ","$54,535 "
MaleME_LessthanHighSchoolGrad,"$30,253 ","$29,659 ","$30,648 ","$30,526 ","$31,441 ","$37,762 ","$31,577 ","$34,700 ","$31,687 ","$28,655 ","$30,490 ","$35,226 ","$34,136 ","$32,724 ","$33,933 ","$36,091 ","$34,630 ","$28,679 ","$31,270 ","$34,452 ","$36,156 ","$35,379 ","$30,256 ","$34,159 ","$29,448 ","$31,478 ","$31,006 ","$34,816 ","$34,072 ","$37,043 ","$32,582 ","$28,102 ","$30,786 ","$29,333 ","$39,204 ","$31,782 ","$31,684 ","$33,587 ","$33,742 ","$35,267 ","$28,219 ","$33,269 ","$30,109 ","$31,815 ","$36,935 ","$32,780 ","$32,853 ","$36,040 ","$27,540 ","$35,482 ","$41,246 "
MaleME_HighSchoolGrad,"$39,088 ","$44,214 ","$38,079 ","$36,728 ","$40,646 ","$43,053 ","$46,001 ","$42,278 ","$34,301 ","$34,854 ","$37,761 ","$42,317 ","$38,681 ","$41,932 ","$42,335 ","$42,604 ","$40,339 ","$38,467 ","$42,703 ","$39,667 ","$45,052 ","$48,423 ","$39,264 ","$42,651 ","$36,905 ","$39,464 ","$38,365 ","$41,413 ","$39,355 ","$47,520 ","$44,480 ","$34,492 ","$41,575 ","$36,175 ","$44,494 ","$41,018 ","$40,018 ","$39,420 ","$42,588 ","$44,775 ","$37,342 ","$40,532 ","$37,317 ","$39,794 ","$44,446 ","$40,102 ","$41,415 ","$46,108 ","$41,180 ","$42,796 ","$49,048 "
MaleME_SomeCollegeorAssociatesDegree,"$46,840 ","$57,832 ","$46,645 ","$43,019 ","$51,289 ","$51,214 ","$54,365 ","$48,891 ","$44,958 ","$42,603 ","$46,685 ","$50,969 ","$45,453 ","$51,824 ","$51,217 ","$50,257 ","$47,399 ","$46,623 ","$48,802 ","$46,457 ","$55,948 ","$54,724 ","$48,102 ","$53,147 ","$43,371 ","$45,973 ","$42,719 ","$50,328 ","$46,172 ","$55,571 ","$55,108 ","$41,670 ","$50,982 ","$43,992 ","$53,623 ","$47,911 ","$46,952 ","$46,437 ","$49,938 ","$53,345 ","$45,877 ","$47,410 ","$45,801 ","$50,290 ","$52,146 ","$46,772 ","$51,999 ","$54,447 ","$44,402 ","$51,827 ","$54,098 "
MaleME_BachelorsDegree,"$68,665 ","$74,516 ","$69,953 ","$63,813 ","$81,227 ","$74,310 ","$83,615 ","$70,888 ","$86,892 ","$61,402 ","$72,761 ","$65,105 ","$62,396 ","$77,258 ","$68,066 ","$67,627 ","$67,449 ","$62,870 ","$68,168 ","$58,502 ","$82,543 ","$83,201 ","$72,769 ","$75,222 ","$57,076 ","$65,568 ","$55,036 ","$64,608 ","$60,521 ","$78,443 ","$85,507 ","$54,571 ","$75,546 ","$68,991 ","$63,708 ","$70,753 ","$63,385 ","$68,379 ","$71,106 ","$70,236 ","$65,842 ","$59,437 ","$64,866 ","$74,471 ","$72,121 ","$56,504 ","$80,664 ","$84,214 ","$57,008 ","$68,754 ","$62,332 "
MaleME_GraduateorProfessionalDegree,"$88,888 ","$93,166 ","$89,640 ","$80,046 ","$114,783 ","$96,383 ","$108,585 ","$94,711 ","$117,940 ","$83,626 ","$91,685 ","$88,191 ","$82,648 ","$101,638 ","$83,394 ","$84,490 ","$83,962 ","$74,395 ","$83,464 ","$76,223 ","$111,250 ","$109,640 ","$94,824 ","$94,537 ","$77,283 ","$83,221 ","$73,568 ","$80,228 ","$84,792 ","$98,645 ","$117,249 ","$84,672 ","$100,859 ","$91,513 ","$73,108 ","$88,006 ","$80,353 ","$90,965 ","$94,116 ","$91,136 ","$83,882 ","$73,077 ","$85,882 ","$98,343 ","$97,181 ","$78,916 ","$113,111 ","$109,852 ","$73,790 ","$84,304 ","$73,007 "
FemaleMedianEarnings,"$32,184 ","$41,868 ","$37,103 ","$32,118 ","$40,591 ","$41,506 ","$44,537 ","$40,764 ","$71,131 ","$33,736 ","$36,208 ","$40,246 ","$30,182 ","$39,371 ","$34,298 ","$36,116 ","$35,533 ","$33,254 ","$31,764 ","$36,039 ","$49,695 ","$48,380 ","$34,646 ","$42,258 ","$30,434 ","$35,215 ","$32,095 ","$36,421 ","$36,242 ","$41,881 ","$44,973 ","$32,079 ","$43,615 ","$35,327 ","$38,630 ","$35,696 ","$32,444 ","$36,971 ","$37,817 ","$41,715 ","$33,399 ","$34,242 ","$34,163 ","$35,845 ","$32,981 ","$39,770 ","$41,941 ","$41,783 ","$30,594 ","$37,858 ","$32,998 "
FemME_LessthanHighSchoolGrad,"$18,442 ","$22,241 ","$22,007 ","$21,451 ","$20,585 ","$22,328 ","$22,074 ","$21,612 ","$22,319 ","$19,832 ","$20,818 ","$25,473 ","$18,547 ","$22,015 ","$20,377 ","$22,635 ","$20,785 ","$19,051 ","$17,575 ","$21,153 ","$21,792 ","$24,451 ","$19,352 ","$22,974 ","$16,096 ","$19,861 ","$17,421 ","$23,279 ","$25,005 ","$24,630 ","$20,772 ","$16,518 ","$21,242 ","$19,408 ","$20,806 ","$19,327 ","$19,343 ","$22,159 ","$20,231 ","$25,620 ","$18,675 ","$21,100 ","$19,870 ","$18,281 ","$22,044 ","$19,193 ","$20,382 ","$22,611 ","$16,615 ","$22,210 ","$17,966 "
FemME_HighSchoolGrad,"$24,748 ","$30,457 ","$28,125 ","$25,465 ","$28,843 ","$30,896 ","$30,663 ","$29,978 ","$31,537 ","$25,721 ","$26,390 ","$31,226 ","$24,741 ","$26,921 ","$26,469 ","$26,634 ","$25,719 ","$25,089 ","$23,416 ","$26,705 ","$32,143 ","$31,028 ","$25,335 ","$29,334 ","$22,378 ","$26,263 ","$24,728 ","$26,681 ","$30,612 ","$31,567 ","$29,298 ","$24,050 ","$28,276 ","$25,727 ","$28,354 ","$26,497 ","$25,217 ","$27,292 ","$27,172 ","$31,506 ","$25,509 ","$26,360 ","$26,144 ","$25,987 ","$27,749 ","$29,470 ","$27,076 ","$31,006 ","$23,896 ","$27,960 ","$25,741 "
FemME_SomeCollegeorAssociatesDegree,"$30,202 ","$38,789 ","$34,350 ","$30,071 ","$36,134 ","$35,238 ","$38,362 ","$34,647 ","$42,193 ","$32,200 ","$31,785 ","$37,564 ","$27,280 ","$33,257 ","$31,942 ","$32,777 ","$31,750 ","$30,679 ","$29,519 ","$33,078 ","$41,163 ","$38,922 ","$31,511 ","$36,975 ","$27,947 ","$31,965 ","$29,115 ","$32,070 ","$34,995 ","$36,735 ","$37,649 ","$29,551 ","$36,816 ","$31,294 ","$34,656 ","$32,582 ","$30,488 ","$33,028 ","$33,778 ","$37,979 ","$30,714 ","$32,087 ","$31,502 ","$33,498 ","$30,240 ","$34,151 ","$34,704 ","$36,561 ","$28,199 ","$34,297 ","$30,991 "
FemME_BachelorsDegree,"$43,022 ","$51,955 ","$47,780 ","$43,208 ","$58,189 ","$50,210 ","$56,447 ","$53,577 ","$72,081 ","$44,157 ","$48,288 ","$48,246 ","$39,864 ","$52,887 ","$45,135 ","$46,647 ","$45,078 ","$44,195 ","$45,107 ","$42,971 ","$59,416 ","$58,303 ","$46,516 ","$53,553 ","$40,632 ","$44,624 ","$39,278 ","$45,728 ","$46,135 ","$50,143 ","$60,705 ","$43,146 ","$57,124 ","$45,868 ","$47,930 ","$48,200 ","$42,545 ","$46,689 ","$49,912 ","$52,337 ","$42,843 ","$44,056 ","$44,068 ","$52,865 ","$39,722 ","$43,113 ","$53,145 ","$53,937 ","$41,795 ","$48,887 ","$44,059 "
FemME_GraduateorProfessionalDegree,"$56,220 ","$75,380 ","$61,338 ","$57,324 ","$82,881 ","$63,783 ","$76,290 ","$70,367 ","$100,626 ","$57,407 ","$63,893 ","$66,244 ","$55,448 ","$69,421 ","$61,241 ","$64,434 ","$57,665 ","$56,467 ","$54,323 ","$58,313 ","$81,185 ","$77,793 ","$64,189 ","$71,521 ","$52,480 ","$58,066 ","$54,171 ","$62,592 ","$63,530 ","$66,491 ","$78,728 ","$59,603 ","$75,244 ","$58,153 ","$64,373 ","$65,594 ","$54,090 ","$64,559 ","$67,558 ","$73,679 ","$55,881 ","$56,027 ","$57,306 ","$64,383 ","$60,900 ","$61,443 ","$72,250 ","$75,183 ","$56,236 ","$63,441 ","$61,569 "
